phase,query,sample,execution_ms
baseline,Q1,1,34.460
baseline,Q1,2,22.326
baseline,Q1,3,21.713
baseline,Q1,4,21.889
baseline,Q1,5,23.959
baseline,Q1,6,22.311
baseline,Q1,7,22.178
baseline,Q1,8,23.822
baseline,Q1,9,21.265
baseline,Q1,10,20.969
baseline,Q2,1,20.384
baseline,Q2,2,20.605
baseline,Q2,3,20.255
baseline,Q2,4,20.395
baseline,Q2,5,20.424
baseline,Q2,6,20.639
baseline,Q2,7,20.518
baseline,Q2,8,20.679
baseline,Q2,9,20.215
baseline,Q2,10,21.331
optimized,Q1,1,0.331
optimized,Q1,2,0.050
optimized,Q1,3,0.066
optimized,Q1,4,0.065
optimized,Q1,5,0.074
optimized,Q1,6,0.050
optimized,Q1,7,0.054
optimized,Q1,8,0.048
optimized,Q1,9,0.055
optimized,Q1,10,0.057
optimized,Q2,1,0.093
optimized,Q2,2,0.100
optimized,Q2,3,0.056
optimized,Q2,4,0.072
optimized,Q2,5,0.057
optimized,Q2,6,0.048
optimized,Q2,7,0.060
optimized,Q2,8,0.046
optimized,Q2,9,0.067
optimized,Q2,10,0.072
baseline,INSERT,1,1.295
baseline,INSERT,2,0.445
baseline,INSERT,3,0.383
baseline,INSERT,4,0.423
baseline,INSERT,5,0.422
baseline,INSERT,6,0.553
baseline,INSERT,7,0.483
baseline,INSERT,8,0.421
baseline,INSERT,9,0.406
baseline,INSERT,10,0.470
baseline,UPDATE,1,0.171
baseline,UPDATE,2,0.107
baseline,UPDATE,3,0.100
baseline,UPDATE,4,0.119
baseline,UPDATE,5,0.083
baseline,UPDATE,6,0.079
baseline,UPDATE,7,0.086
baseline,UPDATE,8,0.153
baseline,UPDATE,9,0.066
baseline,UPDATE,10,0.143
optimized,INSERT,1,0.992
optimized,INSERT,2,0.476
optimized,INSERT,3,0.380
optimized,INSERT,4,0.596
optimized,INSERT,5,0.570
optimized,INSERT,6,0.440
optimized,INSERT,7,0.379
optimized,INSERT,8,0.698
optimized,INSERT,9,0.424
optimized,INSERT,10,0.419
optimized,UPDATE,1,0.105
optimized,UPDATE,2,0.101
optimized,UPDATE,3,0.134
optimized,UPDATE,4,0.085
optimized,UPDATE,5,0.105
optimized,UPDATE,6,0.084
optimized,UPDATE,7,0.106
optimized,UPDATE,8,0.078
optimized,UPDATE,9,0.109
optimized,UPDATE,10,0.096
